,TrRatio,Dataset,N_tr,seed,DetectT,Masktr,Maskte,Maskepoch,MaskT,Masksize,FCtr,FCte,FCepoch,FCT,FCsize,RFtr,RFte,RFT
67,0.15,3,1200,2,14.23455691,0.009723214,0.017360909,388,29.74641585,1504.386719,0.004914549,0.033111945,397,45.09549165,19373.52344,0.02914653,0.064699755,0.101972103
68,0.15,3,1200,3,15.83021808,0.012132806,0.018799571,392,30.03163362,1504.386719,0.000462667,0.03335176,364,45.28888011,19373.52344,0.029533836,0.065095104,0.097464323
69,0.15,3,1200,4,13.8079102,0.01108877,0.0171875,399,29.38126945,1504.386719,0.001470894,0.033937246,362,44.94208312,19373.52344,0.028135493,0.062556124,0.099146605
115,0.1,3,800,0,15.93614483,0.013409246,0.024062717,285,22.25058341,1504.386719,0.001776478,0.041203253,364,60.31913376,19373.52344,0.029362819,0.068459849,0.072045803
116,0.1,3,800,1,24.5509212,0.015955992,0.025829868,304,21.57978392,1504.386719,0.002452595,0.045925405,314,62.50662899,19373.52344,0.029655147,0.067247837,0.091846704
117,0.1,3,800,2,32.39048409,0.009096153,0.019516377,398,30.05252123,1504.386719,0.001285405,0.044936337,395,63.34663129,19373.52344,0.028618314,0.066122268,0.070156813
118,0.1,3,800,3,35.66866565,0.01010003,0.019641746,389,27.58781457,1504.386719,0.003969191,0.045164209,380,67.23096919,19373.52344,0.030256257,0.065160844,0.066046238
119,0.1,3,800,4,16.12419534,0.011302967,0.0224529,398,21.793293,1504.386719,0.007752884,0.045885835,337,68.00267959,19373.52344,0.032071265,0.069221278,0.082408905
165,0.075,3,600,0,15.4727695,0.01024875,0.024101151,397,17.45559216,1504.386719,0.002039899,0.053403314,397,36.61106539,19373.52344,0.029225159,0.067753725,0.045870304
166,0.075,3,600,1,16.52515817,0.013689698,0.028992489,361,15.43540215,1504.386719,0.001084085,0.050905555,372,36.62112975,19373.52344,0.029735451,0.074098167,0.055484533
167,0.075,3,600,2,14.72238874,0.010670462,0.022820486,395,16.7488668,1504.386719,0.005044371,0.052654281,350,36.01856327,19373.52344,0.030752576,0.069337166,0.046174526
168,0.075,3,600,3,15.11654878,0.010553419,0.023844946,389,16.77263474,1504.386719,0.007535436,0.055150293,300,35.72193146,19373.52344,0.03201491,0.071356418,0.054584503
169,0.075,3,600,4,15.0922792,0.013094279,0.028466979,348,16.93413997,1504.386719,0.010843891,0.05633815,328,35.82977653,19373.52344,0.030366211,0.070389977,0.072712898
215,0.05,3,400,0,15.33233666,0.013756303,0.03229421,272,10.44785595,1504.386719,0.00659051,0.062614411,86,68.48988795,19373.52344,0.032348888,0.077683884,0.032427788
216,0.05,3,400,1,14.55606198,0.01055682,0.030085413,390,11.20202756,1504.386719,0.011830267,0.069004998,307,69.16895771,19373.52344,0.036093175,0.088173101,0.042037487
217,0.05,3,400,2,14.83308935,0.014619045,0.03355246,306,9.869533777,1504.386719,0.004899152,0.072854631,325,69.83378625,19373.52344,0.038024418,0.088037956,0.041432858
218,0.05,3,400,3,14.50402451,0.013942686,0.036253523,311,10.46566153,1504.386719,0.015138838,0.069971412,49,75.92649865,19373.52344,0.032826212,0.081338394,0.036516666
219,0.05,3,400,4,15.16749763,0.009746795,0.025985101,398,10.34563375,1504.386719,0.004173854,0.06560944,339,52.45250821,19373.52344,0.032300771,0.076183975,0.03167367
20,0.2,4,1600,0,20.81288767,0.018150099,0.025560303,355,40.77453136,1504.386719,0.012302721,0.029809792,33,54.99757934,19373.52344,0.037850338,0.083392222,0.128936768
21,0.2,4,1600,1,20.18126392,0.018538674,0.026492512,376,40.97960067,1504.386719,0.00122679,0.030299477,362,54.35508466,19373.52344,0.035900806,0.081522729,0.132619143
22,0.2,4,1600,2,19.91027093,0.018075331,0.024655359,349,40.09220743,1504.386719,0.005924782,0.031221626,350,54.1673336,19373.52344,0.037241706,0.083639868,0.133927822
23,0.2,4,1600,3,23.27931738,0.018670845,0.026731284,392,40.31956458,1504.386719,0.012052464,0.030385017,32,54.38708162,19373.52344,0.035854105,0.082804048,0.131872654
24,0.2,4,1600,4,25.15302539,0.017968177,0.025068734,370,39.44389701,1504.386719,0.009780486,0.030174781,26,55.04892349,19373.52344,0.036548203,0.080054153,0.15316081
70,0.15,4,1200,0,20.45473146,0.018735593,0.026792828,281,29.19138384,1504.386719,0.003519791,0.032469466,377,52.87349701,19373.52344,0.039302327,0.085373246,0.077963352
71,0.15,4,1200,1,15.1776967,0.018494237,0.029623197,398,29.1829927,1504.386719,0.004217912,0.031470608,81,56.87458372,19373.52344,0.038570409,0.088409179,0.09837079
72,0.15,4,1200,2,14.77926683,0.018440387,0.028409863,333,29.69727969,1504.386719,0.01469136,0.031239918,26,59.91364527,19373.52344,0.041118525,0.088204087,0.10763526
73,0.15,4,1200,3,12.18323445,0.019417692,0.027888652,337,29.74905419,1504.386719,0.002000978,0.032150865,391,63.07771111,19373.52344,0.037117375,0.082236261,0.101044893
74,0.15,4,1200,4,18.3212781,0.018463004,0.026666693,330,29.86915183,1504.386719,0.004132847,0.032822113,386,45.44588566,19373.52344,0.038483718,0.087667638,0.097420692
120,0.1,4,800,0,15.25671983,0.01701742,0.027563872,340,20.01803231,1504.386719,0.003534153,0.034918871,338,70.58223391,19373.52344,0.039345869,0.086842427,0.05138135
121,0.1,4,800,1,11.78318572,0.042822777,0.048119679,66,22.7927506,1504.386719,0.004222347,0.03629414,303,66.72432423,19373.52344,0.041122933,0.091799036,0.051913261
122,0.1,4,800,2,15.92967987,0.019992099,0.028116135,217,21.30713034,1504.386719,0.002868298,0.035408434,364,64.77042913,19373.52344,0.042249451,0.094192097,0.07184267
123,0.1,4,800,3,15.33884811,0.017748194,0.029393872,259,22.65034485,1504.386719,0.004803837,0.034874689,390,67.65098,19373.52344,0.039840838,0.089312169,0.084444523
124,0.1,4,800,4,14.63418245,0.017320956,0.029745346,367,19.86238837,1504.386719,0.006616,0.034575067,84,69.14703107,19373.52344,0.042595531,0.09147367,0.068104982
170,0.075,4,600,0,14.26258278,0.016828238,0.030148776,258,16.17748857,1504.386719,0.002997129,0.037207391,334,36.00478268,19373.52344,0.039705008,0.095807424,0.05435729
171,0.075,4,600,1,12.10963202,0.016868627,0.033999391,280,16.64963531,1504.386719,0.004223256,0.03671493,239,36.65515447,19373.52344,0.039489322,0.090664787,0.052701473
172,0.075,4,600,2,15.77847934,0.016784223,0.030392902,379,17.32997394,1504.386719,0.004723309,0.037933767,114,35.92385244,19373.52344,0.041129509,0.093894579,0.072270155
173,0.075,4,600,3,19.01811075,0.018418185,0.03087661,191,16.09135509,1504.386719,0.001511265,0.037709646,348,35.65865541,19373.52344,0.042251108,0.095043323,0.056051016
174,0.075,4,600,4,18.15793943,0.042611674,0.049309514,69,15.60613728,1504.386719,0.000802646,0.037613884,340,35.82624292,19373.52344,0.041277686,0.09275368,0.068345547
220,0.05,4,400,0,13.57101393,0.015644489,0.038892992,361,9.737998009,1504.386719,0.005188346,0.048596881,302,33.21016574,19373.52344,0.044083928,0.104760804,0.031759262
221,0.05,4,400,1,12.65319824,0.017052141,0.036856901,300,10.6562376,1504.386719,0.010158977,0.045544501,143,32.7336936,19373.52344,0.047635955,0.107036148,0.032683611
222,0.05,4,400,2,16.76203179,0.01349586,0.039463859,392,10.91456985,1504.386719,0.002484152,0.04780912,329,32.73105145,19373.52344,0.047489326,0.102236908,0.031042099
223,0.05,4,400,3,15.77121902,0.017176916,0.040002238,395,9.237233162,1504.386719,0.008064848,0.04629866,380,32.43045688,19373.52344,0.046191013,0.103817121,0.054525375
224,0.05,4,400,4,13.05172801,0.043529288,0.051423553,81,10.69546628,1504.386719,0.006251291,0.04642513,251,32.20197654,19373.52344,0.043626606,0.101881487,0.039996624
25,0.2,5,1600,0,18.67011023,0.006460194,0.009596058,397,41.06580496,1504.386719,0.000491194,0.023107439,396,53.27635455,19373.52344,0.020079146,0.046720007,0.137997866
26,0.2,5,1600,1,21.14180779,0.006229709,0.009627491,377,41.39291906,1504.386719,0.002534759,0.021614989,352,54.87984467,19373.52344,0.0197543,0.047390776,0.138679028
27,0.2,5,1600,2,21.55458713,0.006477471,0.009651341,388,40.74446154,1504.386719,0.00285298,0.022567512,339,54.08711052,19373.52344,0.020361358,0.04653802,0.141305447
28,0.2,5,1600,3,14.82467318,0.00509202,0.007754474,382,39.8817904,1504.386719,0.001839575,0.023652505,393,53.57091784,19373.52344,0.020609139,0.047689814,0.119524002
29,0.2,5,1600,4,21.35632515,0.005696133,0.009360068,397,40.1320219,1504.386719,0.001521577,0.021895975,386,53.89212298,19373.52344,0.020134571,0.04751588,0.1197896
75,0.15,5,1200,0,13.52345538,0.007312688,0.012426201,395,29.92011595,1504.386719,0.002222427,0.025498588,389,56.15907931,19373.52344,0.02059654,0.047775132,0.105942488
76,0.15,5,1200,1,14.63008952,0.00700614,0.011616831,397,29.77507901,1504.386719,0.006141004,0.025956938,388,59.80493093,19373.52344,0.021054461,0.049018419,0.10685277
